"year","state","party","ecv","pct","votes"
1976,"NEW YORK","rep",0,47.5,3100791
1976,"NORTH CAROLINA","dem",13,55.2,927365
1976,"NORTH CAROLINA","rep",0,44.2,741960
1976,"NORTH DAKOTA","dem",0,45.8,137078
1976,"NORTH DAKOTA","rep",3,51.6,153470
1976,"OHIO","dem",25,48.9,2011621
1976,"OHIO","rep",0,48.7,2000505
1976,"OKLAHOMA","dem",0,48.7,532442
1976,"OKLAHOMA","rep",8,50,545708
1976,"OREGON","dem",0,47.6,490407
1976,"OREGON","rep",6,47.8,492120
1976,"PENNSYLVANIA","dem",27,50.4,2328677
1976,"PENNSYLVANIA","rep",0,47.7,2205604
1976,"RHODE ISLAND","dem",4,55.4,227636
1976,"RHODE ISLAND","rep",0,44.1,181249
1976,"SOUTH CAROLINA","dem",8,56.2,450807
1976,"SOUTH CAROLINA","rep",0,43.1,346149
1976,"SOUTH DAKOTA","dem",0,48.9,147068
1976,"SOUTH DAKOTA","rep",4,50.4,151505
1976,"TENNESSEE","dem",10,55.9,825879
1976,"TENNESSEE","rep",0,42.9,633969
1976,"TEXAS","dem",26,51.1,2082319
1976,"TEXAS","rep",0,48,1953300
1976,"UTAH","dem",0,33.6,182110
1976,"UTAH","rep",4,62.4,337908
1976,"VERMONT","dem",0,43.1,80954
1976,"VERMONT","rep",3,54.4,102085
1976,"VIRGINIA","dem",0,48,813896
1976,"VIRGINIA","rep",11,49.3,836554
1976,"WASHINGTON","dem",0,46.1,717323
1976,"WASHINGTON","rep",8,50,777732
1976,"WEST VIRGINIA","dem",6,58,435914
1976,"WEST VIRGINIA","rep",0,41.9,314760
1976,"WISCONSIN","dem",11,49.4,1040232
1976,"WISCONSIN","rep",0,47.8,1004987
1976,"WYOMING","dem",0,39.8,62239
1976,"WYOMING","rep",3,59.3,92717
1980,"ALABAMA","dem",0,1.2,16481
1980,"ALABAMA","other",9,48.8,654192
1980,"ALABAMA","rep",0,47.5,636730
1980,"ALASKA","dem",0,7,11155
1980,"ALASKA","other",3,54.3,86112
1980,"ALASKA","rep",0,26.4,41842
1980,"ARIZONA","dem",0,8.8,76952
1980,"ARIZONA","other",6,60.6,529688
