"state","year","gdp"
"Colorado",1970,10431
"Connecticut",1970,16347
"Delaware",1970,3166
"District of Columbia",1970,8559
"Florida",1970,30691
"Georgia",1970,19365
"Hawaii",1970,4813
"Idaho",1970,3015
"Illinois",1970,62763
"Indiana",1970,24546
"Iowa",1970,12957
"Kansas",1970,9755
"Kentucky",1970,13943
"Louisiana",1970,17177
"Maine",1970,3959
"Maryland",1970,18720
"Massachusetts",1970,29052
"Michigan",1970,46178
"Minnesota",1970,18699
"Mississippi",1970,7253
"Missouri",1970,22230
"Montana",1970,2919
"Nebraska",1970,6907
"Nevada",1970,3262
"New Hampshire",1970,3050
"New Jersey",1970,38492
"New Mexico",1970,4431
"New York",1970,112349
"North Carolina",1970,22840
"North Dakota",1970,2294
"Ohio",1970,53714
"Oklahoma",1970,10369
"Oregon",1970,9798
"Pennsylvania",1970,56670
"Rhode Island",1970,4311
"South Carolina",1970,9556
"South Dakota",1970,2437
"Tennessee",1970,16100
"Texas",1970,52314
"Utah",1970,4448
"Vermont",1970,1980
"Virginia",1970,21048
"Washington",1970,18112
"West Virginia",1970,7088
"Wisconsin",1970,20193
"Wyoming",1970,1943
"New England",1970,58699
"United States",1971,1097173
"Alabama",1971,13624
"Alaska",1971,2539
"Arizona",1971,9649
"Arkansas",1971,7440
"California",1971,120372
"Colorado",1971,11998
"Connecticut",1971,17129
"Delaware",1971,3623
"District of Columbia",1971,9180
"Florida",1971,34161
"Georgia",1971,21570
"Hawaii",1971,5188
"Idaho",1971,3265
"Illinois",1971,67379
"Indiana",1971,26882
"Iowa",1971,13666
"Kansas",1971,10824
"Kentucky",1971,15568
"Louisiana",1971,18634
"Maine",1971,4207
"Maryland",1971,20501
"Massachusetts",1971,30989
"Michigan",1971,51704
"Minnesota",1971,20035
"Mississippi",1971,7923
"Missouri",1971,24245
"Montana",1971,3143
"Nebraska",1971,7660
"Nevada",1971,3611
"New Hampshire",1971,3332
"New Jersey",1971,41307
"New Mexico",1971,4822
"New York",1971,119145
"North Carolina",1971,25035
"North Dakota",1971,2632
"Ohio",1971,57975
"Oklahoma",1971,11278
"Oregon",1971,10864
"Pennsylvania",1971,60293
"Rhode Island",1971,4599
"South Carolina",1971,10551
"South Dakota",1971,2656
"Tennessee",1971,17867
"Texas",1971,57344
"Utah",1971,4936
"Vermont",1971,2122
"Virginia",1971,23157
"Washington",1971,18761
"West Virginia",1971,7602
"Wisconsin",1971,22083
"Wyoming",1971,2100
"New England",1971,62378
"United States",1972,1210292
"Alabama",1972,15356
"Alaska",1972,2743
"Arizona",1972,11292
"Arkansas",1972,8494
"California",1972,133143
"Colorado",1972,13784
"Connecticut",1972,18799
"Delaware",1972,3984
"District of Columbia",1972,9896
