"state","period","measure","unempl_rate"
"Oklahoma","Feb 1976","not seasonally adjusted","7"
"Oregon","Feb 1976","not seasonally adjusted","11.6"
"Pennsylvania","Feb 1976","not seasonally adjusted","9.1"
"Rhode Island","Feb 1976","not seasonally adjusted","9.6"
"South Carolina","Feb 1976","not seasonally adjusted","8.5"
"South Dakota","Feb 1976","not seasonally adjusted","4.2"
"Tennessee","Feb 1976","not seasonally adjusted","6.9"
"Texas","Feb 1976","not seasonally adjusted","6.2"
"Utah","Feb 1976","not seasonally adjusted","7"
"Vermont","Feb 1976","not seasonally adjusted","9.8"
"Virginia","Feb 1976","not seasonally adjusted","6.7"
"Washington","Feb 1976","not seasonally adjusted","10.5"
"West Virginia","Feb 1976","not seasonally adjusted","9.4"
"Wisconsin","Feb 1976","not seasonally adjusted","7.6"
"Wyoming","Feb 1976","not seasonally adjusted","5"
"Alabama","Mar 1976","seasonally adjusted","6.6"
"Alaska","Mar 1976","seasonally adjusted","7.1"
"Arizona","Mar 1976","seasonally adjusted","10.2"
"Arkansas","Mar 1976","seasonally adjusted","7.4"
"California","Mar 1976","seasonally adjusted","9"
"Colorado","Mar 1976","seasonally adjusted","5.5"
"Connecticut","Mar 1976","seasonally adjusted","9.8"
"Delaware","Mar 1976","seasonally adjusted","7.7"
"District of Columbia","Mar 1976","seasonally adjusted","9"
"Florida","Mar 1976","seasonally adjusted","9.5"
"Georgia","Mar 1976","seasonally adjusted","8.4"
"Hawaii","Mar 1976","seasonally adjusted","10.2"
"Idaho","Mar 1976","seasonally adjusted","5.5"
"Illinois","Mar 1976","seasonally adjusted","6.7"
"Indiana","Mar 1976","seasonally adjusted","6.5"
"Iowa","Mar 1976","seasonally adjusted","4.2"
"Kansas","Mar 1976","seasonally adjusted","4.3"
"Kentucky","Mar 1976","seasonally adjusted","5.5"
"Louisiana","Mar 1976","seasonally adjusted","6.3"
"Maine","Mar 1976","seasonally adjusted","8.7"
"Maryland","Mar 1976","seasonally adjusted","6.5"
"Massachusetts","Mar 1976","seasonally adjusted","10.3"
"Michigan","Mar 1976","seasonally adjusted","9.9"
"Minnesota","Mar 1976","seasonally adjusted","6"
"Mississippi","Mar 1976","seasonally adjusted","6.5"
"Missouri","Mar 1976","seasonally adjusted","6"
"Montana","Mar 1976","seasonally adjusted","5.8"
"Nebraska","Mar 1976","seasonally adjusted","3.3"
"Nevada","Mar 1976","seasonally adjusted","9"
"New Hampshire","Mar 1976","seasonally adjusted","6.8"
"New Jersey","Mar 1976","seasonally adjusted","10.2"
"New Mexico","Mar 1976","seasonally adjusted","8.9"
"New York","Mar 1976","seasonally adjusted","10.2"
"North Carolina","Mar 1976","seasonally adjusted","6.4"
"North Dakota","Mar 1976","seasonally adjusted","3.3"
"Ohio","Mar 1976","seasonally adjusted","8.1"
"Oklahoma","Mar 1976","seasonally adjusted","5.9"
"Oregon","Mar 1976","seasonally adjusted","9.6"
"Pennsylvania","Mar 1976","seasonally adjusted","8.1"
"Rhode Island","Mar 1976","seasonally adjusted","8.1"
"South Carolina","Mar 1976","seasonally adjusted","7.5"
"South Dakota","Mar 1976","seasonally adjusted","3.1"
"Tennessee","Mar 1976","seasonally adjusted","6"
